COUNTRY,Country,ISC11A,ISCED-A 2011,SEX,Gender,AGE,Age,PIAAC_CATEGORY,Category,INDICATOR,Indicator,MEASURE,Measure,YEAR,Reference year,Value,Flag Codes,Flags
AUT,Austria,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.9031,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.3782,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.8592,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.0648,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.794,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.4988,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,4.6182,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,7.0105,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.9605,,
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.5077,,
AUT,Austria,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.029,,
AUT,Austria,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.255,,
AUT,Austria,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.2762,,
AUT,Austria,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,7.0898,,
AUT,Austria,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.4474,,
AUT,Austria,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,4.4724,,
AUT,Austria,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.7903,,
AUT,Austria,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.5259,,
AUT,Austria,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.9987,,
AUT,Austria,T,All levels of education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.6877,,
AUT,Austria,T,All levels of education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.6368,,
AUT,Austria,T,All levels of education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.0041,,
AUT,Austria,T,All levels of education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,7.6399,,
AUT,Austria,T,All levels of education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,4.3697,,
AUT,Austria,T,All levels of education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.3849,,
AUT,Austria,T,All levels of education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,7.4407,,
AUT,Austria,T,All levels of education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.7565,,
AUT,Austria,T,All levels of education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,T,All levels of education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,4.2913,,
BEL,Belgium,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.8499,,
BEL,Belgium,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.0449,,
BEL,Belgium,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,8.6199,,
BEL,Belgium,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,11.6773,,
BEL,Belgium,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.6158,,
BEL,Belgium,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.2124,,
BEL,Belgium,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,9.1618,,
BEL,Belgium,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.3016,,
BEL,Belgium,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.9017,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.1266,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,0.7605,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,4.9336,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,7.374,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.071,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.8415,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.9545,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,1.6847,,
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L3T4,Upper secondary and post-secondary non-tertiary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.2081,,
BEL,Belgium,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,4.2952,,
BEL,Belgium,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,1.7568,,
BEL,Belgium,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,4.3266,,
BEL,Belgium,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.4413,,
BEL,Belgium,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.7781,,
BEL,Belgium,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.5954,,
BEL,Belgium,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,4.623,,
BEL,Belgium,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.1959,,
BEL,Belgium,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,L5T8,Tertiary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,T,All levels of education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.2023,,
BEL,Belgium,T,All levels of education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.0393,,
BEL,Belgium,T,All levels of education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,1.4913,,
BEL,Belgium,T,All levels of education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.1182,,
BEL,Belgium,T,All levels of education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.7283,,
BEL,Belgium,T,All levels of education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.5081,,
BEL,Belgium,T,All levels of education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,3.8749,,
BEL,Belgium,T,All levels of education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,5.735,,
BEL,Belgium,T,All levels of education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.1344,,
BEL,Belgium,T,All levels of education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,T,All levels of education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,T,All levels of education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
BEL,Belgium,T,All levels of education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
